timestamp,open,high,low,close,volume
2026-03-22 18:00:00,6510.0,6525.0,6505.0,6522.0,5311
2026-03-22 18:01:00,6521.25,6526.75,6515.0,6517.75,2133
2026-03-22 18:02:00,6518.0,6524.75,6515.0,6524.75,1480
2026-03-22 18:03:00,6524.5,6537.75,6522.5,6536.25,1800
2026-03-22 18:04:00,6536.0,6538.0,6528.0,6529.25,1455
2026-03-22 18:05:00,6529.25,6534.0,6527.5,6533.75,846
2026-03-22 18:06:00,6533.75,6534.75,6529.25,6530.25,617
2026-03-22 18:07:00,6530.25,6535.0,6529.75,6532.0,581
2026-03-22 18:08:00,6532.25,6538.0,6531.0,6536.0,961
2026-03-22 18:09:00,6536.0,6540.0,6535.5,6537.25,1348
2026-03-22 18:10:00,6537.0,6538.25,6532.75,6534.5,953
2026-03-22 18:11:00,6535.0,6535.5,6528.0,6529.5,978
2026-03-22 18:12:00,6529.5,6530.25,6527.0,6528.0,564
2026-03-22 18:13:00,6528.0,6534.0,6527.25,6533.75,550
2026-03-22 18:14:00,6533.75,6534.0,6531.0,6532.75,499
2026-03-22 18:15:00,6532.5,6535.5,6532.25,6535.5,678
2026-03-22 18:16:00,6535.5,6537.25,6533.5,6534.75,512
2026-03-22 18:17:00,6534.25,6538.75,6533.75,6536.0,654
2026-03-22 18:18:00,6536.5,6537.75,6533.75,6535.75,550
2026-03-22 18:19:00,6536.0,6537.75,6532.75,6534.25,604
2026-03-22 18:20:00,6534.25,6535.75,6532.75,6535.0,556
2026-03-22 18:21:00,6534.75,6538.5,6533.0,6538.5,584
2026-03-22 18:22:00,6538.25,6543.0,6537.75,6542.0,1142
2026-03-22 18:23:00,6541.75,6548.0,6538.25,6547.0,1231
2026-03-22 18:24:00,6547.0,6552.5,6545.75,6548.75,1628
2026-03-22 18:25:00,6548.5,6553.75,6547.75,6551.75,745
2026-03-22 18:26:00,6551.5,6557.0,6551.25,6555.75,1568
2026-03-22 18:27:00,6555.25,6557.25,6554.5,6555.5,801
2026-03-22 18:28:00,6555.5,6562.0,6555.0,6560.5,777
2026-03-22 18:29:00,6560.25,6560.5,6554.0,6555.0,973
2026-03-22 18:30:00,6555.0,6560.0,6555.0,6559.0,502
2026-03-22 18:31:00,6559.0,6559.25,6557.0,6557.0,508
2026-03-22 18:32:00,6556.75,6557.0,6552.25,6553.5,789
2026-03-22 18:33:00,6553.75,6555.0,6551.0,6552.5,734
2026-03-22 18:34:00,6552.5,6553.75,6548.0,6548.75,698
2026-03-22 18:35:00,6548.75,6554.5,6548.75,6550.25,795
2026-03-22 18:36:00,6550.5,6550.5,6547.25,6549.25,386
2026-03-22 18:37:00,6549.25,6552.75,6549.25,6552.0,441
2026-03-22 18:38:00,6552.0,6552.25,6549.25,6549.5,268
2026-03-22 18:39:00,6549.75,6550.25,6546.75,6546.75,252
2026-03-22 18:40:00,6547.0,6550.5,6545.25,6550.0,524
2026-03-22 18:41:00,6549.75,6549.75,6547.25,6547.5,160
2026-03-22 18:42:00,6547.75,6548.25,6546.5,6546.75,167
2026-03-22 18:43:00,6546.75,6546.75,6543.0,6544.25,808
2026-03-22 18:44:00,6544.5,6545.25,6543.25,6544.25,276
2026-03-22 18:45:00,6544.5,6547.5,6544.25,6546.0,432
2026-03-22 18:46:00,6545.75,6548.25,6544.75,6547.5,320
2026-03-22 18:47:00,6547.5,6547.75,6544.0,6544.75,222
2026-03-22 18:48:00,6545.0,6546.0,6544.0,6546.0,188
2026-03-22 18:49:00,6546.0,6547.5,6545.25,6546.75,149
2026-03-22 18:50:00,6546.5,6551.5,6546.0,6550.75,560
2026-03-22 18:51:00,6550.5,6550.75,6548.0,6548.75,205
2026-03-22 18:52:00,6548.75,6551.5,6548.75,6549.75,266
2026-03-22 18:53:00,6549.75,6550.5,6548.5,6549.75,157
2026-03-22 18:54:00,6549.5,6549.75,6546.0,6547.0,309
2026-03-22 18:55:00,6546.75,6548.75,6546.75,6548.25,155
2026-03-22 18:56:00,6548.5,6550.25,6548.25,6549.0,145
2026-03-22 18:57:00,6549.25,6549.5,6548.0,6549.25,113
2026-03-22 18:58:00,6549.0,6549.0,6545.0,6545.25,280
2026-03-22 18:59:00,6545.25,6547.75,6545.0,6546.5,189
2026-03-22 19:00:00,6546.75,6549.75,6546.5,6549.25,179
2026-03-22 19:01:00,6549.25,6553.0,6548.5,6552.0,402
2026-03-22 19:02:00,6551.75,6554.0,6550.0,6553.25,468
2026-03-22 19:03:00,6553.25,6555.25,6553.25,6554.0,328
2026-03-22 19:04:00,6554.0,6555.75,6553.25,6553.25,278
2026-03-22 19:05:00,6553.5,6555.5,6553.25,6554.25,204
2026-03-22 19:06:00,6554.25,6554.75,6552.25,6552.75,218
2026-03-22 19:07:00,6553.0,6554.5,6552.75,6554.0,126
2026-03-22 19:08:00,6553.75,6554.0,6552.25,6552.5,160
2026-03-22 19:09:00,6552.75,6554.5,6552.5,6554.25,181
2026-03-22 19:10:00,6554.5,6556.75,6554.0,6554.75,338
2026-03-22 19:11:00,6554.5,6555.75,6553.75,6554.75,145
2026-03-22 19:12:00,6555.0,6557.0,6555.0,6556.5,155
2026-03-22 19:13:00,6556.25,6557.25,6555.75,6556.5,129
2026-03-22 19:14:00,6556.5,6556.75,6555.5,6556.25,122
2026-03-22 19:15:00,6556.25,6557.5,6556.25,6557.25,125
2026-03-22 19:16:00,6557.0,6557.25,6554.0,6554.5,152
2026-03-22 19:17:00,6554.25,6555.5,6553.75,6555.25,198
2026-03-22 19:18:00,6555.5,6555.75,6553.25,6553.5,196
2026-03-22 19:19:00,6553.25,6553.75,6548.5,6549.75,563
2026-03-22 19:20:00,6549.5,6551.0,6548.5,6548.5,251
2026-03-22 19:21:00,6549.0,6550.0,6545.75,6547.5,454
2026-03-22 19:22:00,6547.5,6549.5,6546.0,6549.25,221
2026-03-22 19:23:00,6549.25,6550.0,6547.75,6548.25,174
2026-03-22 19:24:00,6548.25,6548.75,6547.0,6548.5,101
2026-03-22 19:25:00,6548.25,6549.0,6547.5,6548.25,133
2026-03-22 19:26:00,6548.25,6548.25,6546.5,6547.0,93
2026-03-22 19:27:00,6547.0,6549.0,6546.5,6548.0,226
2026-03-22 19:28:00,6548.0,6548.0,6544.25,6544.75,220
2026-03-22 19:29:00,6544.5,6545.75,6544.5,6545.0,112
2026-03-22 19:30:00,6545.0,6546.25,6544.5,6546.0,156
2026-03-22 19:31:00,6546.25,6548.5,6546.25,6546.25,178
2026-03-22 19:32:00,6546.0,6546.75,6544.75,6545.0,140
2026-03-22 19:33:00,6545.5,6545.5,6542.25,6544.0,278
2026-03-22 19:34:00,6544.25,6544.25,6542.25,6542.75,212
2026-03-22 19:35:00,6543.25,6544.0,6542.75,6543.5,150
2026-03-22 19:36:00,6543.5,6545.75,6543.0,6545.0,143
2026-03-22 19:37:00,6544.75,6545.5,6543.75,6544.0,116
2026-03-22 19:38:00,6544.25,6546.25,6543.75,6546.0,149
2026-03-22 19:39:00,6546.0,6546.75,6544.25,6544.5,194
2026-03-22 19:40:00,6544.5,6545.25,6543.0,6545.25,137
2026-03-22 19:41:00,6545.25,6545.25,6543.75,6544.5,166
2026-03-22 19:42:00,6544.5,6546.5,6544.25,6545.75,165
2026-03-22 19:43:00,6545.75,6546.0,6544.75,6544.75,107
2026-03-22 19:44:00,6545.0,6546.0,6544.75,6545.0,194
2026-03-22 19:45:00,6545.0,6545.0,6537.5,6539.5,1119
2026-03-22 19:46:00,6539.5,6544.5,6539.25,6543.25,436
2026-03-22 19:47:00,6543.0,6545.0,6541.25,6541.5,287
2026-03-22 19:48:00,6542.0,6544.75,6542.0,6543.5,226
2026-03-22 19:49:00,6543.25,6543.25,6539.0,6539.25,302
2026-03-22 19:50:00,6539.25,6542.5,6538.75,6540.0,336
2026-03-22 19:51:00,6540.0,6540.75,6539.25,6540.5,155
2026-03-22 19:52:00,6540.5,6542.25,6540.25,6540.5,207
2026-03-22 19:53:00,6540.0,6540.0,6534.75,6535.0,419
2026-03-22 19:54:00,6535.25,6535.75,6533.0,6533.5,523
2026-03-22 19:55:00,6533.75,6537.5,6533.75,6535.5,457
2026-03-22 19:56:00,6535.5,6538.5,6535.0,6538.5,249
2026-03-22 19:57:00,6538.75,6538.75,6534.75,6535.0,261
2026-03-22 19:58:00,6535.25,6536.0,6533.5,6534.5,278
2026-03-22 19:59:00,6534.75,6540.25,6534.5,6539.5,449
2026-03-22 20:00:00,6539.75,6544.0,6539.75,6540.75,704
2026-03-22 20:01:00,6540.75,6542.75,6540.75,6541.0,312
2026-03-22 20:02:00,6541.5,6541.5,6538.5,6539.25,328
2026-03-22 20:03:00,6539.5,6540.0,6538.0,6538.75,250
2026-03-22 20:04:00,6538.5,6542.75,6538.25,6540.5,262
2026-03-22 20:05:00,6540.5,6540.75,6533.75,6533.75,343
2026-03-22 20:06:00,6534.5,6542.5,6534.0,6542.0,566
2026-03-22 20:07:00,6541.75,6543.75,6540.0,6542.75,442
2026-03-22 20:08:00,6543.5,6547.0,6542.75,6543.0,616
2026-03-22 20:09:00,6542.75,6545.25,6542.75,6543.25,357
2026-03-22 20:10:00,6543.25,6546.75,6543.0,6544.75,528
2026-03-22 20:11:00,6545.0,6551.5,6545.0,6550.0,768
2026-03-22 20:12:00,6550.25,6553.25,6548.0,6552.75,589
2026-03-22 20:13:00,6552.5,6553.5,6552.0,6553.25,315
2026-03-22 20:14:00,6552.75,6553.25,6549.5,6550.5,588
2026-03-22 20:15:00,6550.25,6551.5,6545.75,6546.75,606
2026-03-22 20:16:00,6547.0,6550.25,6544.5,6548.5,585
2026-03-22 20:17:00,6548.5,6550.0,6547.75,6548.0,470
2026-03-22 20:18:00,6548.25,6549.25,6547.75,6548.25,325
2026-03-22 20:19:00,6548.5,6550.0,6547.5,6547.5,292
2026-03-22 20:20:00,6547.25,6550.25,6546.75,6549.75,372
2026-03-22 20:21:00,6549.75,6555.0,6549.75,6553.5,833
2026-03-22 20:22:00,6553.75,6555.5,6552.75,6554.5,384
2026-03-22 20:23:00,6554.5,6555.5,6554.0,6554.5,388
2026-03-22 20:24:00,6554.25,6554.25,6550.5,6551.25,587
2026-03-22 20:25:00,6551.5,6553.25,6550.5,6551.0,275
2026-03-22 20:26:00,6551.25,6553.0,6550.0,6550.25,339
2026-03-22 20:27:00,6550.5,6550.75,6547.75,6548.25,349
2026-03-22 20:28:00,6548.25,6550.0,6547.5,6548.25,198
2026-03-22 20:29:00,6548.0,6549.25,6546.25,6547.75,417
2026-03-22 20:30:00,6548.0,6548.0,6547.0,6548.0,240
2026-03-22 20:31:00,6548.0,6550.0,6546.75,6547.25,345
2026-03-22 20:32:00,6547.25,6547.25,6543.0,6543.5,480
2026-03-22 20:33:00,6543.5,6543.5,6541.0,6541.0,579
2026-03-22 20:34:00,6541.0,6542.0,6537.5,6538.0,503
2026-03-22 20:35:00,6538.5,6540.0,6535.25,6535.75,666
2026-03-22 20:36:00,6535.75,6537.25,6532.75,6532.75,697
2026-03-22 20:37:00,6533.0,6534.75,6531.0,6531.75,650
2026-03-22 20:38:00,6532.0,6533.5,6530.5,6532.0,442
2026-03-22 20:39:00,6532.25,6533.25,6530.5,6531.0,465
2026-03-22 20:40:00,6531.25,6531.25,6528.25,6529.75,580
2026-03-22 20:41:00,6530.0,6532.5,6527.75,6530.0,577
2026-03-22 20:42:00,6530.0,6531.25,6528.5,6529.0,355
2026-03-22 20:43:00,6529.0,6533.0,6529.0,6533.0,492
2026-03-22 20:44:00,6533.0,6536.0,6533.0,6535.25,625
2026-03-22 20:45:00,6534.75,6536.0,6533.5,6535.5,545
2026-03-22 20:46:00,6535.5,6536.5,6532.75,6533.75,517
2026-03-22 20:47:00,6534.0,6536.0,6533.0,6535.5,341
2026-03-22 20:48:00,6535.5,6535.75,6531.5,6532.75,281
2026-03-22 20:49:00,6532.25,6535.75,6530.75,6534.5,329
2026-03-22 20:50:00,6534.5,6537.0,6533.5,6534.0,340
2026-03-22 20:51:00,6534.25,6536.25,6532.0,6532.25,299
2026-03-22 20:52:00,6532.5,6532.5,6527.75,6529.5,650
2026-03-22 20:53:00,6529.75,6530.5,6527.75,6529.25,605
2026-03-22 20:54:00,6529.0,6529.25,6525.5,6526.75,558
2026-03-22 20:55:00,6526.75,6529.25,6525.0,6525.25,836
2026-03-22 20:56:00,6525.25,6528.75,6523.75,6527.5,1003
2026-03-22 20:57:00,6527.25,6528.25,6526.5,6527.5,348
2026-03-22 20:58:00,6527.5,6529.0,6527.5,6528.25,589
2026-03-22 20:59:00,6528.25,6528.25,6525.5,6525.75,331
2026-03-22 21:00:00,6525.75,6529.0,6523.0,6524.5,819
2026-03-22 21:01:00,6524.5,6528.25,6522.25,6526.0,1009
2026-03-22 21:02:00,6525.75,6527.75,6524.0,6525.0,584
2026-03-22 21:03:00,6525.25,6527.25,6524.0,6527.25,584
2026-03-22 21:04:00,6527.0,6531.5,6527.0,6530.0,767
2026-03-22 21:05:00,6529.75,6531.0,6526.5,6530.25,367
2026-03-22 21:06:00,6530.25,6535.5,6530.0,6535.5,547
2026-03-22 21:07:00,6535.5,6537.25,6534.75,6537.25,532
2026-03-22 21:08:00,6537.25,6540.0,6536.75,6537.75,534
2026-03-22 21:09:00,6538.0,6538.0,6534.25,6535.5,366
2026-03-22 21:10:00,6535.0,6536.5,6533.25,6534.75,423
2026-03-22 21:11:00,6534.5,6536.25,6532.5,6535.75,700
2026-03-22 21:12:00,6535.75,6537.75,6534.25,6536.75,260
2026-03-22 21:13:00,6536.5,6538.5,6534.0,6537.5,382
2026-03-22 21:14:00,6537.75,6538.5,6536.75,6537.75,159
2026-03-22 21:15:00,6537.75,6541.0,6536.5,6540.5,504
2026-03-22 21:16:00,6541.0,6543.5,6540.75,6542.5,476
2026-03-22 21:17:00,6542.5,6543.0,6541.25,6542.0,292
2026-03-22 21:18:00,6542.25,6542.5,6540.0,6541.5,405
2026-03-22 21:19:00,6541.75,6544.5,6541.25,6544.5,342
2026-03-22 21:20:00,6544.75,6544.75,6541.5,6543.0,623
2026-03-22 21:21:00,6543.25,6544.0,6542.0,6543.0,294
2026-03-22 21:22:00,6542.75,6546.5,6542.75,6546.0,331
2026-03-22 21:23:00,6545.75,6546.5,6544.75,6546.0,415
2026-03-22 21:24:00,6546.0,6546.5,6544.75,6545.5,156
2026-03-22 21:25:00,6545.25,6545.5,6543.25,6545.5,234
2026-03-22 21:26:00,6545.5,6547.25,6545.0,6546.25,306
2026-03-22 21:27:00,6546.25,6546.25,6545.0,6545.5,201
2026-03-22 21:28:00,6545.5,6546.25,6544.5,6546.0,391
2026-03-22 21:29:00,6546.0,6546.25,6544.0,6544.75,312
2026-03-22 21:30:00,6544.75,6545.75,6541.5,6543.0,407
2026-03-22 21:31:00,6542.75,6549.25,6542.0,6547.75,558
2026-03-22 21:32:00,6547.5,6548.5,6546.0,6546.5,260
2026-03-22 21:33:00,6546.5,6547.75,6545.5,6545.75,350
2026-03-22 21:34:00,6545.75,6546.25,6543.5,6545.75,269
2026-03-22 21:35:00,6545.75,6548.0,6545.0,6547.0,453
2026-03-22 21:36:00,6547.0,6548.75,6544.0,6547.5,426
2026-03-22 21:37:00,6547.5,6551.25,6547.5,6550.75,473
2026-03-22 21:38:00,6550.5,6554.0,6550.5,6552.25,533
2026-03-22 21:39:00,6552.0,6553.0,6550.0,6552.0,388
2026-03-22 21:40:00,6552.0,6553.5,6551.25,6551.75,258
2026-03-22 21:41:00,6551.75,6552.5,6550.25,6551.25,351
2026-03-22 21:42:00,6551.25,6551.25,6549.25,6550.5,365
2026-03-22 21:43:00,6550.0,6551.25,6550.0,6550.5,259
2026-03-22 21:44:00,6550.75,6552.5,6550.0,6552.5,276
2026-03-22 21:45:00,6552.5,6552.5,6550.25,6550.75,160
2026-03-22 21:46:00,6550.5,6554.0,6550.0,6553.75,353
2026-03-22 21:47:00,6553.75,6554.0,6549.5,6550.25,315
2026-03-22 21:48:00,6550.25,6550.5,6548.75,6549.0,243
2026-03-22 21:49:00,6549.25,6550.5,6548.0,6549.0,298
2026-03-22 21:50:00,6549.25,6549.5,6547.75,6548.25,307
2026-03-22 21:51:00,6548.5,6551.5,6548.5,6549.25,379
2026-03-22 21:52:00,6549.75,6549.75,6546.75,6547.5,306
2026-03-22 21:53:00,6547.25,6550.5,6546.75,6549.5,388
2026-03-22 21:54:00,6549.75,6550.0,6548.5,6549.25,182
2026-03-22 21:55:00,6549.25,6551.5,6549.25,6551.0,171
2026-03-22 21:56:00,6551.0,6552.5,6550.0,6551.75,251
2026-03-22 21:57:00,6551.75,6551.75,6548.5,6549.0,156
2026-03-22 21:58:00,6549.0,6551.0,6549.0,6549.25,227
2026-03-22 21:59:00,6549.0,6549.75,6548.5,6549.25,157
2026-03-22 22:00:00,6549.5,6550.0,6548.0,6549.75,157
2026-03-22 22:01:00,6549.5,6551.75,6549.0,6551.75,254
2026-03-22 22:02:00,6551.5,6552.25,6549.75,6550.5,173
2026-03-22 22:03:00,6550.25,6550.75,6548.5,6549.5,188
2026-03-22 22:04:00,6549.25,6550.75,6548.5,6550.25,122
2026-03-22 22:05:00,6550.5,6551.25,6549.0,6549.75,124
2026-03-22 22:06:00,6550.0,6552.0,6549.75,6551.75,178
2026-03-22 22:07:00,6551.75,6553.5,6551.25,6553.25,259
2026-03-22 22:08:00,6552.75,6553.75,6552.25,6553.25,269
2026-03-22 22:09:00,6553.25,6554.0,6551.5,6553.0,229
2026-03-22 22:10:00,6553.0,6554.0,6551.25,6552.75,175
2026-03-22 22:11:00,6552.75,6552.75,6550.75,6550.75,119
2026-03-22 22:12:00,6551.25,6551.25,6547.75,6548.0,307
2026-03-22 22:13:00,6547.5,6547.75,6545.0,6545.75,359
2026-03-22 22:14:00,6546.0,6547.0,6545.25,6546.25,232
2026-03-22 22:15:00,6546.5,6546.75,6544.0,6544.75,363
2026-03-22 22:16:00,6544.75,6550.5,6543.75,6549.0,333
2026-03-22 22:17:00,6549.25,6549.5,6546.25,6546.75,369
2026-03-22 22:18:00,6546.75,6549.0,6546.25,6548.75,175
2026-03-22 22:19:00,6548.5,6549.25,6546.5,6547.75,208
2026-03-22 22:20:00,6548.0,6550.25,6547.25,6549.75,266
2026-03-22 22:21:00,6549.5,6552.0,6548.75,6551.25,320
2026-03-22 22:22:00,6551.0,6551.25,6549.0,6549.5,189
2026-03-22 22:23:00,6549.5,6550.25,6549.0,6549.5,164
2026-03-22 22:24:00,6549.25,6550.25,6548.5,6549.5,210
2026-03-22 22:25:00,6549.0,6551.0,6549.0,6551.0,208
2026-03-22 22:26:00,6550.5,6554.25,6550.25,6552.75,363
2026-03-22 22:27:00,6553.0,6553.25,6549.75,6550.25,179
2026-03-22 22:28:00,6550.5,6550.5,6547.5,6547.75,283
2026-03-22 22:29:00,6548.25,6549.5,6547.5,6549.0,215
2026-03-22 22:30:00,6548.5,6549.0,6547.75,6548.5,217
2026-03-22 22:31:00,6548.25,6549.0,6546.5,6547.75,373
2026-03-22 22:32:00,6547.75,6548.75,6546.75,6547.0,199
2026-03-22 22:33:00,6547.25,6547.25,6546.0,6546.5,200
2026-03-22 22:34:00,6546.5,6547.0,6545.5,6545.75,120
2026-03-22 22:35:00,6545.75,6546.5,6545.0,6545.25,209
2026-03-22 22:36:00,6545.25,6546.5,6545.0,6545.0,181
2026-03-22 22:37:00,6544.75,6544.75,6542.5,6543.0,384
2026-03-22 22:38:00,6543.0,6543.25,6542.0,6543.0,155
2026-03-22 22:39:00,6543.25,6543.75,6541.75,6542.0,167
2026-03-22 22:40:00,6542.0,6543.5,6542.0,6543.0,124
2026-03-22 22:41:00,6542.75,6544.25,6540.75,6543.25,442
2026-03-22 22:42:00,6543.5,6545.25,6543.5,6544.5,212
2026-03-22 22:43:00,6544.75,6545.25,6542.75,6543.0,221
2026-03-22 22:44:00,6543.25,6543.5,6541.25,6541.75,142
2026-03-22 22:45:00,6541.5,6542.25,6540.5,6541.5,162
2026-03-22 22:46:00,6541.25,6541.25,6539.5,6539.75,345
2026-03-22 22:47:00,6540.0,6541.25,6539.0,6539.75,221
2026-03-22 22:48:00,6540.0,6540.25,6537.5,6538.0,273
2026-03-22 22:49:00,6538.0,6539.25,6538.0,6538.25,126
2026-03-22 22:50:00,6538.0,6539.5,6538.0,6538.0,220
2026-03-22 22:51:00,6538.0,6538.75,6537.5,6538.0,177
2026-03-22 22:52:00,6537.75,6538.75,6537.5,6538.0,139
2026-03-22 22:53:00,6537.5,6538.0,6535.5,6536.75,250
2026-03-22 22:54:00,6536.5,6538.5,6536.25,6537.75,175
2026-03-22 22:55:00,6538.0,6538.5,6537.5,6538.25,98
2026-03-22 22:56:00,6538.5,6540.0,6538.25,6539.0,211
2026-03-22 22:57:00,6539.0,6539.75,6538.75,6539.0,124
2026-03-22 22:58:00,6539.0,6541.5,6539.0,6540.75,246
